name,author,artwork,game_code,license,like_count,description,top_5_comments,game_url
Princess Mochi,astropelican,https://www.lexaloffle.com/bbs/preview/pico8_princessmochi_a-0.png,princessmochi_a-0,No License,11,"Princess Mochi has a jetpack, two pigtails that never quite keep up with her, and a whole town's worth of mochi to carry home before dark. UFOs always flank her in single file, then dive straight into her. [8x8] The pigeons mean well. They fan in, arrange themselves into a very tidy little ring, and shoot at her anyway. [8x8] Fishcakes aren't meanies exactly, they're just happily wiggling through their little ribbon dance, unfortunately right in her way. [8x8] The mech means it rather more. And somewhere past the second town something enormous is waiting, though she'd rather not think about that part just yet. [16x16] Mochi is the whole point. [16x16] Pink mochi makes her gun quicker and her reach longer. These appear whenever she terminates an enemy fool that gets in her way. [16x16] Cream mochi makes her light on her feet. These appear when she obliterates an entire wave of pigeons, UFOs, or fishcakes. [16x16] Matcha mochi, her favorite, buys hearts, and hearts are the one thing nobody can take back off her; clip a tree or a road sign and everything else goes bouncing merrily away down the road behind you. Embarrassing, but survivable. Two towns, two bosses, and one princess with excellent posture and no intention of slowing down. 🤍 Special thanks to the pico8 Discord community for their help: freds72 who was instrumental in helping me nail the shadow aesthetic, and @wasdly for the mode7 terrain rendering, as well as the #project channel on there for feedback and suggestions. Parens-8 Built with parens-8, which is AGPLv3. Full source here. download Windows, Mac, Linux, and Raspberry PI builds from itch.io.",LevyGames: You did an incredible job with this game. I had a ton of fun playing it. Thank you for posting it!,https://www.lexaloffle.com/bbs/?tid=159143
Lionfish Hunter 2026,shutch42,https://www.lexaloffle.com/bbs/preview/pico8_lionfish_hunter_2026-0.png,lionfish_hunter_2026-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),4,"This is my first pico-8 game that isn't a tutorial! It's a little janky, but I'm happy with it. Press x to shoot your speargun, and z to dodge-roll. Spear the lionfish to move onto the next room. Certain fish and objects do damage (the ones you would expect- lionfish, jellyfish, sharks, hooks, etc.). There are seven levels, and you have 5 health points. Make it to the end for some cool boss fights.",,https://www.lexaloffle.com/bbs/?tid=159135
Kairu,sgchild9,https://www.lexaloffle.com/bbs/preview/pico8_gifodedize-0.png,gifodedize-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),2,"Kairu A strategic territory game inspired by Kulami, made for PICO-8. Place your marbles to claim territory while restricting where your opponent can play next. The board gradually changes as spaces are occupied, creating a game where a move that looks good now can set up — or ruin — your next several turns. Kairu includes: Single-player mode with an easy/hard AI opponent Local 2-player mode Territory-based scoring Condensed rules included in cartridge but full ruleset can be found online This started as an experiment to see if I could build a Kulami-inspired game in PICO-8, and gradually turned into a proper little game of its own. Enjoy!",,https://www.lexaloffle.com/bbs/?tid=159133
Plight of the Angel,AlrtCypress,https://www.lexaloffle.com/bbs/preview/pico8_flying_bullethell-5.png,flying_bullethell-5,No License,8,"Survive the boss for as long as you can! Controls: Use LEFT, RIGHT, and UP (or X if you're using a controller) to fly around. Press O to dash. Press DOWN to heal (as long as the cooldown is not active.) Tips: the screen wraps around. Use it to dodge attacks if needed. your hitbox is relatively small. It's never too late to squeeze out to safety! there is no cooldown on the dash ability. Just be careful not to dash right into an attack! This game was inspired by late-game Terraria bosses, including the wing-based movement and the bullet hell gameplay. Let me know what you think! Attack Patterns: Red: A cluster of projectiles spawn offscreen, locking onto you then firing. Yellow: 3 small dots spawn around you and quickly accelerate inward. Purple: 6 dots begin to swirl around you, slowly closing in. Green: Bouncing balls fall from the sky from left to right (or vice versa) and bounce back up ======Changelog ====== 1.01 day-one hotfix for controller support. Press X to fly upward. 1.02 fixed a bug where X and UP had different flying physics. Adjusted the music and introduced Autoheal 1.03 added cover art, updated description to add attack descriptions 1.04 added a new alternate song. The music is picked randomly at game start","jack_turps: This has so much sauce, especially love the red attack pattern, the music, and the boss sprite!! || RustBot: It's neat. I like it Although I did notice that flying with the UP button & the X button feels different. And I'm pretty sure it is || AlrtCypress: @RustBot the issue has been resolved in the latest patch. Thank you for your support!",https://www.lexaloffle.com/bbs/?tid=159132
VPOLY,Bastianno,https://www.lexaloffle.com/bbs/preview/pico8_zayehafesi-0.png,zayehafesi-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),4,Function for whoever wants it. Info inside code.,harold_: This is a cool function - I like how it is parameterized on v. > --hope it works -♥- It did.,https://www.lexaloffle.com/bbs/?tid=159129
Love Me Not,jack_turps,https://www.lexaloffle.com/bbs/preview/pico8_love_me_not-5.png,love_me_not-5,No License,15,"Controls left/right: spin and drift z/x: float enter: open the pause menu (toggle clock, etc) Land on your stem to bounce. Escape the cave to win. Shout Outs Shout out to Pogostuck for it's torturous movement, Abnormal Grass for its attention to surface normals, and Moss Moss for its depiction of a comfy grotto. Tips and Tricks Leaderboards are available in the itch build .","MaxOsirus: This is awesome! Annnnnd super hard lol || cheesemug: This game looks awesome and the askew wall are something new to me. I love the few frame long animation at the start where the walls are being build. but sadly the gameplay might be too hard for me. (but I’ll keep trying) || Bazwell: I got it! I love that the inputs affect the horizontal speed and the rotation at the same time, it makes controlling the flower extremely frantic. Regenerating the level as you move up and down is also a really cool way to deal with difficulty. Otherwise I probably would have given up on some brutal spike sections. || jack_turps: @cheesemug thank you for those kind words! The video is very helpful. Floating can be counter-intuitive. It helps when you take a big fall, but because it slows you down it can make climbing much harder. I'll see if there's a better way to signal that in-game, thanks again and good luck! I believe in you! || jack_turps: @Bazwell congrats, its not an easy climb!! I'm glad you enjoyed the movement and level-gen, those were the areas I spent the most time fussing over (:",https://www.lexaloffle.com/bbs/?tid=159124
OXO,Alkhan,https://www.lexaloffle.com/bbs/preview/pico8_oxoalkhan-0.png,oxoalkhan-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),2,A recreation of OXO (1952) — the earliest known computer game to display visuals on a video monitor.,,https://www.lexaloffle.com/bbs/?tid=159123
snowy mountain animation,semaphore,https://www.lexaloffle.com/bbs/preview/pico8_snowy_mountain_anim-3.png,snowy_mountain_anim-3,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),3,"64x64-mode, sprite sketch with some procedural snow",,https://www.lexaloffle.com/bbs/?tid=159122
Don't Study Me!,ymellow,https://www.lexaloffle.com/bbs/preview/pico8_dont_study_me-0.png,dont_study_me-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),2,,,https://www.lexaloffle.com/bbs/?tid=159115
beachbirdpanic,lvl99chicken,https://www.lexaloffle.com/bbs/preview/pico8_beachbirdpanic-0.png,beachbirdpanic-0,No License,1,,,https://www.lexaloffle.com/bbs/?tid=159112
Sepsis 1K,Adam Atomic,https://www.lexaloffle.com/bbs/preview/pico8_sepsis-0.png,sepsis-0,No License,9,"My entry for the 1k jam! Zap stuff, get points, you know the drill. Thanks to my love Bekah for coming up with a great title. Inspired by https://www.lexaloffle.com/bbs/?pid=195760#p 1023 compressed bytes without the cartridge tags!",RealShadowCaster: Nice,https://www.lexaloffle.com/bbs/?tid=159111
echoes,unikotoast,https://www.lexaloffle.com/bbs/preview/pico8_echoes-0.png,echoes-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),4,1024 bytes game for pico-1k jam 2026 ← ↑ ↓ → - move Z - start Collect items and avoid your shadows play on itch.io,,https://www.lexaloffle.com/bbs/?tid=159110
Sumer,Alkhan,https://www.lexaloffle.com/bbs/preview/pico8_sumeralkhan-1.png,sumeralkhan-1,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),6,"I made a PICO-8 adaptation of ""The Sumerian Game (1964)"" — one of the earliest computer strategy games, designed by Mabel Addis.",LevyGames: This is cool! I’ve been thinking of doing an Oregon trail remake. || smthng_wll_hppn: I won! || Alkhan: Thanks! Glad you liked it. I’ve actually been thinking about doing my own PICO-8 interpretation of The Oregon Trail too.,https://www.lexaloffle.com/bbs/?tid=159108
space shooter,Tserre,https://www.lexaloffle.com/bbs/preview/pico8_tserrespaceshooter-1.png,tserrespaceshooter-1,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),1,"""press ❎ to start"" ""❎ to shoot"" ""⬅️⬆️➡️⬇️ to move""",,https://www.lexaloffle.com/bbs/?tid=159104
Marienbad,Alkhan,https://www.lexaloffle.com/bbs/preview/pico8_marienbadalkhan-0.png,marienbadalkhan-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),3,"A recreation of Marienbad — an early Polish computer game from 1962, based on a variant of Nim.","LevyGames: Awesome! My wife and I enjoyed playing together. Thanks for posting! || Alkhan: Yeah, it has a similar kind of feel to Nim. I decided to recreate it because this kind of game also has its own place in early video game history.",https://www.lexaloffle.com/bbs/?tid=159100
Violet Tactics (Deltarune Chapter 5 Cover),squishyam,https://www.lexaloffle.com/bbs/preview/pico8_vt_squishyam-0.png,vt_squishyam-0,No License,9,Did not expect to spend so long on this. Waveform visualizer by Colin The Newmaker: https://www.lexaloffle.com/bbs/?tid=149602 Original track by Toby Fox all rights reserved uhhhhhhhhhhhh yeah,Kasio: That programming on the lead is so faithful to the original :O sounds great! || Elliot_forzaken: esta bueno me encanta,https://www.lexaloffle.com/bbs/?tid=159099
Minesweeper SPECIAL,Benefitssketch,https://www.lexaloffle.com/bbs/preview/pico8_minesweeperspecial-4.png,minesweeperspecial-4,No License,3,"This is my first foray into development using Pico-8, I enjoyed it a lot! I tried to give the game a couple Easter eggs and oddities, to give it a slightly different flavour from other minesweeper clones. Controls: Arrow Keys - movement C - Reveal a square // Confirm X - Toggle flag The mouse controls are as you'd expect. (Player 2's controls are Pico-8's defaults) For the Name menu, you can change letters using the Up and Down keys, and move between character positions using Right and Left. Features: Click on Yeller (the smiley face) in the upper right of the board, he'll give you a hint that might be useful. Full mouse support (besides the versus mode and name selection screen), persistent hi-scores and user-selected names. (I'll leave the Easter eggs a mystery) If you find any notable bugs, please let me know! I very likely missed many .","RealShadowCaster: OK minesweeper, the ""hints"" are original and funny, I'll play some more to see if it's just all random nonsense or if there's any consistency in them relative to reality. Bugs : when a misplaced flag is swallowed by the auto clear of a 0, the flag count is not updated. if you start the game during the bomber animation, the game crashes. Missing : chording number colors for faster grid reading progressive reveal when hitting a 0 game over grid to understand where you made a mistake Unusual : You win by placing flags, leading to a sudden victory when a lot of the grid remains to be cleared. Can also be abused to win by brute force flag tries at the end of the grid. On the plus side, no more 50%/50% defeat at the end of the grid. Missed opportunity : It's much more fun in 2 players versus to work on the same grid. Each player has his own flag color. You die either by revealing a bomb or misplacing a flag. This way the other player's flags are trustworthy. Most flags wins, and timer countdown if a player dies before the game ends. You could also spawn new player cursors up to 8 in multiplayer mode if you detect pad inputs for pads 3-8. || Benefitssketch: @RealShadowCaster Thanks for the feedback! I've just updated the game, the auto clear no longer messes with the flag count. Though, I was unable to recreate the Bomberguy crash. From my testing, starting a game just pauses the animation, and the sequence continues after re-entering the main menu. Are there any specific conditions that trigger the crash? I'll likely add the suggestions you've made for missing features. Your idea for an alternative versus gamemode is great! I think I may opt for replacing the current versus game, or adding your idea in addition. Or even making it a standalone pico-8 cart to accommodate for a larger player count (if you don't mind me stealing your idea :D) || RealShadowCaster: By all means, be my guest and implement 8 players vs or co-op minesweeper. There are a lot of pico-8 minesweeper versions, but no good multiplayer version to date. I recommend trying shyfu's version for inspiration, and also to read the comment section where a lot has been discussed during the development. https://www.lexaloffle.com/bbs/?tid=55021 For the controls, having the option for mouse to be optionally affected to player 2 or 3 would be nice on computers where only 1 game pad is plugged. You can have one player on keyboard, one on pad, and one on mouse this way. Bugs : clicking on a flag reveals it as if it were a non flagged cell. bomb counters not reset when restarting after a 2 player game ending by a click on a bomb. winning a grid in 2 player mode crashes the game. || Benefitssketch: @RealShadowCaster thanks for the further feedback! That's a great idea, I'll add it to the plans. Shyfu's Minesweeper is extremely impressive, especially on the visual front. Also, I didn't realize you were such a long time pico-8 Minesweeper connoisseur, I feel honored! Yeah, I've learned that there's a stupendous amount of bugs in the versus mode. All due to egregious oversights on my part. I'll have to spend some time ironing them all out.",https://www.lexaloffle.com/bbs/?tid=159096
dodge1k,davemakes,https://www.lexaloffle.com/bbs/preview/pico8_dodge1k-0.png,dodge1k-0,No License,5,"Made this in 999 compressed bytes for PICO-1K Jam 2026. Arrow keys move, X and O slow time. Get close to red circles to mine points, but don't get hit!","Cowirrie: The gravity effect is genius. Eventually there are small dots zipping all over the place, and I know that they didn't spawn that way, it's because I was careless about which direction I pulled them from... Thank you also for squeezing in a restart button. I know some limited-space carts this simply isn't feasible, but it's good quality of life when you can do it.",https://www.lexaloffle.com/bbs/?tid=159095
1997 Snake,LevyGames,https://www.lexaloffle.com/bbs/preview/pico8_wogedogube-2.png,wogedogube-2,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),6,,Alkhan: I love stuff like this. Great recreation — it really hits the nostalgia. || BemBlob: YAY!!!!! || LevyGames: I’m so glad you guys enjoyed the game!,https://www.lexaloffle.com/bbs/?tid=159094
Hypno Sis,Ehkber,https://www.lexaloffle.com/bbs/preview/pico8_urgurgurg_hypno_sis-5.png,urgurgurg_hypno_sis-5,No License,1,"A nsfw/fetish-based comedy game for the Heavy Weight game jam . Obviously won't be to everyone's taste but I'm proud of the fakey-mcfakerson ""physics"" and the coroutine-based cutscene system so hearfelt thankyou to any brave souls who check it out. Currently open to any feedback/ideas about how to add more variety and challenge into the levels.","Verb: Nice game! Thanks for the cheesecake and the very silly story. My only suggestion is to fix the end from ending abruptly, and if you have the spare tokens to list the times for each level at the end. || Ehkber: That's a great idea! 👍",https://www.lexaloffle.com/bbs/?tid=159092
Pool 1954,Alkhan,https://www.lexaloffle.com/bbs/preview/pico8_poolalkhan-1.png,poolalkhan-1,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),2,A recreation of the 1954 Pool game — one of the earliest known video game adaptations of billiards.,,https://www.lexaloffle.com/bbs/?tid=159090
